date,close,ma_5,ma_20,signal
2024-02-20,1758.54296875,1739.555615234375,1770.1717102050782,-1
2024-02-21,1742.1796875,1738.9869140625,1768.2560241699218,-1
2024-02-22,1720.8775634765625,1736.093408203125,1765.0706909179687,-1
2024-02-23,1720.1292724609375,1733.8484619140625,1762.8556701660157,-1
2024-02-26,1702.4691162109375,1728.8397216796875,1757.0387634277345,-1
2024-02-27,1702.9180908203125,1717.71474609375,1751.2093811035156,-1
2024-02-28,1679.8199462890625,1705.2427978515625,1744.1427795410157,-1
2024-02-29,1685.6568603515625,1698.1986572265623,1737.492742919922,-1
2024-03-01,1723.821044921875,1698.93701171875,1732.7409423828126,-1
2024-03-04,1723.322021484375,1703.1075927734375,1728.6925476074218,-1
2024-03-05,1711.847900390625,1704.8935546875,1725.135546875,-1
2024-03-06,1755.799072265625,1720.0893798828124,1723.4967346191406,-1
2024-03-07,1744.1253662109375,1731.7830810546875,1724.412176513672,1
2024-03-11,1725.7666015625,1732.1721923828125,1723.773614501953,1
2024-03-12,1716.487548828125,1730.8052978515625,1724.31240234375,1
2024-03-13,1725.6668701171875,1733.569091796875,1723.933251953125,1
2024-03-14,1738.488037109375,1730.106884765625,1723.606494140625,1
2024-03-15,1734.3973388671875,1728.161279296875,1723.5591064453124,1
2024-03-18,1733.998046875,1729.807568359375,1723.69130859375,1
2024-03-19,1745.7218017578125,1735.6544189453125,1724.6017578125,1
2024-03-20,1761.4364013671875,1742.8083251953126,1724.7464294433594,1
2024-03-21,1768.1712646484375,1748.744970703125,1726.0460083007813,1
2024-03-22,1772.4117431640625,1756.3478515625,1728.6227172851563,1
2024-03-26,1749.7626953125,1759.50078125,1730.1043884277344,1
2024-03-27,1771.6134033203125,1764.6791015625,1733.5616027832032,1
2024-03-28,1781.4912109375,1768.6900634765625,1737.4902587890624,1
2024-04-01,1786.6795654296875,1772.3917236328125,1742.8332397460938,1
2024-04-02,1753.454345703125,1768.600244140625,1746.223114013672,1
2024-04-03,1727.2633056640625,1764.1003662109374,1746.3952270507812,1
2024-04-04,1745.2227783203125,1758.8222412109376,1747.490264892578,1
2024-04-05,1781.1419677734375,1758.752392578125,1750.9549682617187,1
2024-04-08,1784.384765625,1758.2934326171876,1752.3842529296876,1
2024-04-09,1776.6021728515625,1762.922998046875,1754.0080932617188,1
2024-04-10,1821.8504638671875,1781.8404296875,1758.8122863769531,1
2024-04-12,1808.9793701171875,1794.591748046875,1763.4368774414063,1
2024-04-15,1794.1129150390625,1797.1859375,1766.8591796875,1
