date,CIPLA.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,MARUTI.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,WIPRO.NS
2025-05-09,0.012260990137665012,0.010205081394962295,0.014086151178869176,0.01106173419880143,0.010081713276955062,0.010285491658059346,0.014268634340310855,0.01421150720886621,0.016547725100904884,0.011487249201480957,0.015714888593746167,0.02624789507885051,0.017780461284612813,0.009775309889568103,0.015131921393698398
2025-05-12,0.01183690429773117,0.011208530008112288,0.014096227649543427,0.012695244316707061,0.015894591704405724,0.01072129367002645,0.014201767694136263,0.014102569257073087,0.01674551582187474,0.012353652383931681,0.01467510206506421,0.026373324687069738,0.018032695756265708,0.012040733223741064,0.018607891196010425
2025-05-13,0.01181712014565765,0.011691518180362412,0.012966215961955413,0.01278105363711886,0.017311632622224776,0.011242562506907024,0.01444263680519576,0.014473709008151456,0.0171603728395006,0.012927427222402726,0.014745527222006555,0.02668819775730256,0.01769787199383434,0.013941512328658893,0.01885689506414689
2025-05-14,0.011832388516648215,0.01096368989622746,0.012833070546007292,0.012771618125620339,0.017312024129284575,0.01126252401190514,0.013877223725430252,0.014578514446500703,0.017486284344688876,0.012460183480574354,0.014445795551552546,0.025957512042323022,0.018154352672461394,0.013239661875145244,0.017994751940985983
2025-05-15,0.011825161408858984,0.011272134259627803,0.012343421504587443,0.01330079429896996,0.01681641800494593,0.010315670286184993,0.013682514415336586,0.015361569662001973,0.0173403869354029,0.012555411373276489,0.015086405528068784,0.027207896095588602,0.018194176054683257,0.012101013804749991,0.01800303509959372
2025-05-16,0.011260218868850274,0.011258410289912672,0.01242551843002292,0.013294833319156128,0.017135939556032827,0.00977259741575127,0.013687097825820994,0.014918926528106809,0.015784380698942394,0.012577199498089817,0.01512920012385906,0.026808506688172765,0.018226965768286692,0.01240998344959588,0.018144425031565915
2025-05-19,0.01109977014668977,0.010808794776451348,0.012322659247095738,0.011097389559985613,0.01742078019125556,0.009712161765715916,0.011422623178912945,0.014982557850252612,0.015863430356061574,0.011799841373077536,0.013358190708639413,0.02690647920238965,0.018039822993766837,0.012276729041427287,0.018356785691382185
2025-05-20,0.012592301237352437,0.01086647195398593,0.013205284154464573,0.010433094483744897,0.016654084328605066,0.009342820361839591,0.010683467103250405,0.017012889415953098,0.015226827784108164,0.011522859164269757,0.014000948351868714,0.02733097406593043,0.018003404532645963,0.012394021748223629,0.018677128044549796
2025-05-21,0.012968861191892422,0.01026969334089703,0.013007665631432207,0.010423748647077007,0.016272615382648216,0.008621136908609134,0.010676599522880815,0.01706494796682094,0.015459312423248984,0.011315859768177885,0.014159212792515379,0.027337666794192184,0.016421171474321053,0.012397358344549206,0.018093782148033668
2025-05-22,0.013150259348563518,0.008334801250267245,0.013050925366302712,0.010385963740072309,0.015957244283253347,0.008918731687746043,0.009154998828658417,0.0175782598476048,0.016633557229301356,0.01159624928588519,0.01348081438826994,0.026488846075326002,0.01640300038905891,0.012092343829842058,0.017460962344840188
2025-05-23,0.01310098156875116,0.00846130719710594,0.009606948425078298,0.01013555712366532,0.016016777930320438,0.008975001468063185,0.009962640031518082,0.017493295009611158,0.01668886936054094,0.011858547247301943,0.01386340226642883,0.026414331936298066,0.016407845573253057,0.01231304807373117,0.017343179267748213
